;Name;Description;Followers
1335;EL Passion Blog;We're a team of experts passionate about code and design. We make great apps, but also love to learn, meet new people and exchange ideas.;1,023
1336;SitePoint;Sharing our passion for building incredible internet things.;1,023
1337;BLUEprint by Intuit;Thoughts from Intuit on tech, data, design, and the culture that powers today's innovation.;1,023
1338;The Peanut Diaries;Adventures in parenting an autistic brainiac.;1,022
1339;Femmes Unafraid;Women Written. World Informed.;1,022
1340;The Lucky Freelancer;Real life, actionable freelance writing tips for beginners — from people who’ve been there, done that.;1,020
1341;Skin Stories;A digital publication on disability, sexuality and gender;1,018
1342;Developer for Life;All the things cloud developer-related. Azure cloud, C#, .NET, JavaScript, Node.js, Docker containers, speaking, writing, and more. Jeremy Likness is available for speaking and freelance technical writing (see “upcoming talks” for more information).;1,018
1343;Over Engineering;Over is a mobile app for creativity that allows you to build beautiful custom designs;1,017
1344;REgarding 365;Thoughts, opinions, discoveries and tips regarding Microsoft 365, from enthusiasts who make it their business to share them.;1,017
1345;Consensus AI;Achieving collective governance based on interdependence using advanced tech. Sentient Network (https://sentient.org) & Consensus Platform (https://consensus.ai);1,014
1346;Pickle Fork;Letting creative juices flow.;1,011
1347;Revain;Reliable reviews at your fingertips;1,011
1348;Processing Foundation;The Processing Foundation promotes software literacy within the visual arts, and visual literacy within technology-related fields. Our publication posts articles about and by members of our community.;1,011
1349;Tech People Leadership;Notes from coaching founders, technical leaders and execs in the tech industry;1,011
1350;webf;<web/f> - For passionate front-end engineers;1,009
1351;splattered;Live on your own terms.;1,007
1352;Techies Project;An ongoing series documenting the stories of underrepresented people in tech.;1,007
1353;Real Life Stories;“I want life. I want to read it and write it and feel it and live it. I want, for as much of the time as possible in this blink-of-an-eye existence we have, to feel all that can be felt.”;1,005
1354;Ben and Dion;now: Google, formerly: Walmart Labs, Set Direction, Ajaxians, webOSians, Mozillans, and more.;1,004
1355;Building Universe;Our journal: a place to share updates, learnings, and progress as we build our company. Welcome!;1,004
1356;Video Strategist;Video Strategist is a blog for filmmakers, marketers, & freelance videographers run by Storyhunter, the #1 Video Creator Marketplace and Freelancer Management System. Subscribe to our newsletter for the latest insights on video production, storytelling, freelancing, & more.;1,001
1357;Productivity Freak;Awesome tools and productivity hacks;1,001
1358;Render-from-betaworks;Ideas and Observations from Betaworks.;999
1359;Neo Smart Economy;Neo is an open-source, community driven platform that is leveraging the intrinsic advantages of blockchain technology to realize the optimized digital world of the future. https://neo.org/;999
1360;THE SIX FIFTY;The best of what to eat, see and do in Silicon Valley and the SF Peninsula.;999
1361;Thoughts on Apple Car;Conceptualizations on the future car, a.o. shared by former Apple executive Jean-Louis Gassée, Apple/Google/Dropbox designer Ryhan Hassan, Lyft and Snap VC investor Alex Giannikoulis, Wristly founder Bernard Desarnauts, and CaminaLab/Drivania/Shotl founder Gerard Martret.;998
1362;Dark Matter and Trojan Horses;Articles, cases and considerations regarding strategic design practice and thinking.;998
1363;Millennial Action Project;Bipartisan perspectives from America’s rising generation of leaders.;995
1364;Penn Engineering;University of Pennsylvania’s School of Engineering and Applied Science;995
1365;Octavian;Research into machine learning and reasoning;993
1366;Lioness: Knowledge Is Power (And Pleasure);Tips and Techniques for Better Orgasms, Improving Sex, and Happy Vaginas;991
1367;Zenika;Zenika is a firm specialized in computer architecture and Agile methods with a threefold expertise in consulting, realization and training.;988
1368;Zendesk Creative;We're a blend of art, copy, video, and product design. We come from different backgrounds, but we share one passion as the Creative team—making compelling work for Zendesk.;987
1369;Game Of Self;Problem Solving in Fitness, Relationships, and Personal Development;985
1370;Women Writing Memoir;“What would happen if one woman told the truth about her life?” — This is a group for women to  support, encourage and empower each other thorough all stages of the Memoir Writing Process. Beginner to seasoned Memoir writers are welcomed. FREE YOUR VOICE! Stop the silence.;985
1371;Onfido Tech;Stories from Design, Engineering, Product and Research at Onfido;985
1372;exmo-official;The Publication of EXMO Cryptocurrency Exchange. In Crypto We Trust.;982
1373;vis.gl;Uber Visualization's open-source frameworks;980
1374;Book Bites;A little taste of some of our favorite non-fiction.;978
1375;WintonCentre;The Winton Centre for Risk and Evidence Communication is hosted within the Department of Pure Mathematics and Mathematical Statistics in the University of Cambridge. Transparent evidence designed to inform, not to persuade.;977
1376;Paradigm;Paradigm is an investment firm focused on blockchain technology, cryptocurrencies and cryptonetworks shaping data economy and financial industry since 2013.;975
1377;Scale Magazine;Growing success in business and life.;975
1378;Above Intelligent™ AI/ML;A Publication Focused on the Advancement of Artificial Intelligence AI, Machine Learning, Deep Learning, Neural Networks and the People Behind the Emerging Technologies and the Innovation.;969
1379;hepsiburadatech;hepsiburada technology;969
1380;The Age of Product Excellence;Make excellent products;968
1381;The Connection;Domain7 explores people-centric design, and the interplay of technology, empathy and connection. Learn more about us at domain7.com;967
1382;Truly*Adventurous;Truly*Adventurous is a media company conceived in a spirit of adventure and built with reckless faith in the power of punch-’em-in-the-teeth longform storytelling. We commission original true stories from the world’s best nonfiction artists.;967
1383;Welldone Software;The leading full-stack consultancy. Creating amazing frontends and rock-solid backends using top notch technologies and practices. Visit us at https://welldone.software.;967
1384;Moonraft Musings;Design + Art + Technology;965
1385;Bits and Behavior;This is the blog for the Code & Cognition lab, directed by professor Amy J. Ko, Ph.D. at the University of Washington. Here we reflect on what software is, what effects it's having on the world, and our role as public intellectuals in help civilization make sense of code.;964
1386;NeuralSpace;NeuralSpace is a unique blend of people staying close to research that share the passion of making AI available for everyone. We create the ecosystem that allows you to use AI without worrying about the complex algorithms powering it.;962
1387;2 Ways & 10 Days;This site covers all things NBA G League - from player features, coach interviews, podcasts, league analysis and much more.;961
1388;The AAMBC Journal |;The AAMBC Journal | Our Voice. Our Stories. Our Creators;961
1389;SOSV: Inspiration from Acceleration;Insights from The Accelerator VC—including our programs (HAX, IndieBio, Chinaccelerator, MOX, Food-X, dlab) & our startups.;961
1390;thewrytr.;a place in the cloud where enchanting poetry and compelling short stories meet art, and aesthetic photography.;961
1391;Cambium;How to free your mind and live your best life. Practical advice on productivity, mindfulness & meditation, self-improvement, and nootropics.;960
1392;Handwaving Freakoutery;Culture War Analysis, Media Criticism, and Occasional Esoterica. (also gun math);959
1393;EveryLibrary;Stories about libraries and librarians around America. We cover the breadth of experiences that people have through their libraries, and showcase the amazing people who work there.;958
1394;Creative Humans;A community of storytellers who are passionate about the creative process;957
1395;AIMA: AI Marketing Magazine;Driving the AI Marketing movement;954
1396;Lex Roman;Writing on the impact of design;954
1397;Virtual Reality MOOC;A blog about virtual reality tied to our Coursera Specialisation on VR;950
1398;The Audiomack Blog;Updates, blog posts, and streaming music analysis from the Audiomack Team;949
1399;Slalom Technology;For perspective and analysis on everything IT: cloud computing, security, blockchain, AWS, Salesforce, and more!;949
1400;Servian;At Servian, we design, deliver and manage innovative data & analytics, digital, customer engagement and cloud solutions that help you sustain competitive advantage.;948
1401;The 94;Covering what you need and want to know about the NBA;948
1402;Nonfat Design;Musings on the intersections between culture and the future of design.;947
1403;Hacking Behavior;irrationality;943
1404;BlaBlaCar Product & Experience;BlaBlaCar’s Product team share their stories;938
1405;YouTuber Magazine;A publication for YouTubers.;937
1406;RedElastic;The RedElastic Blog. Articles about reactive programming and distributed systems by RedElastic, a boutique consulting company specializing in reactive systems.;936
1407;DAZN Engineering;Revolutionising the sport industry;935
1408;At the Front Line;Frontline is a venture capital firm that invests across Europe and the US in companies that want to fulfil their global potential.;934
1409;8VC News;8VC seeks to enable industry transformation. In a wave of creative destruction, we believe emerging platforms will replace the decades old technology infrastructure behind many industries, promoting greater innovation and global prosperity.;934
1410;The Praxis Journal;Stories of the ideas, models, practices, and people powering today's redemptive ventures.;933
1411;A Person You Should Know;Profiles of smart, creative people. Because who you know influences who you become.;933
1412;Microbial Instincts;Decoding the microbial angle to health and the microbial world.;932
1413;AMPLIFY;New voices and ideas from Global Health Corps, a diverse community of over 1000 young leaders worldwide united by the belief that health is a human right. We tell our own stories, honestly and thoughtfully, because this is where our activism begins.;931
1414;The Blue Review;We’re committed to bringing art back to art criticism, and art criticism back to art;930
1415;UX In Plain English;Where the User comes first.;930
1416;Enjoy The Work;Our unique, hands-on approach to startup mentorship empowers founders to pick the right path. We provide informed counsel every step of the way, helping founders navigate the unknown in times of inevitable turbulence and uncertainty.;929
1417;madeawkward;We partner with founders and companies to create digital products.;929
1418;Radical UX;Because magical experiences are counter-intuitive.;928
1419;In Fitness And In Health;A health and fitness community dedicated to sharing knowledge, lessons, and suggestions to living happier, healthier lives.;928
1420;Applied Artificial Intelligence;Making knowledge on #appliedAI accessible;925
1421;Varanida;News & Updates on Varanida;924
1422;City as a Service;A community for civic-data wranglers, developers, and innovators: @staehere;924
1423;BuzzFeed Tech;Sharing our experiences & discoveries for the betterment of all!;923
1424;kubeflow;Official Kubeflow Blog.;923
1425;Nick Tune’s Strategic Technology Blog;Domain-Driven Design, Organisation Design, Continuous Discovery and Delivery, Technical Strategy…;922
1426;API Product Management;Valuable and accessible products and services are the most important assets for any business, especially in the digital economy. You'll learn the proven and successful API product management methodology, from strategy to execution, to build digital products your customers love.;919
1427;Being LGBTI in Asia;Being LGBTI in Asia and the Pacific is a regional programme aimed at addressing inequality, violence and discrimination on the basis of sexual orientation, gender identity or intersex status, and promotes universal access to health and social services.;918
1428;Fishtown Analytics;Helping venture-funded startups implement advanced analytics.;917
1429;Hologram.io;Stories from the Hologram team on all things IoT connectivity;917
1430;Intuitive Deep Learning;We explain cutting-edge deep learning concepts in an intuitive way! Non-technical beginners, students of deep learning and industry professionals can get a gentle introduction into technical concepts without too much math and code to bog you down!;917
1431;On the Rise;A community of high-achievers on our climb to the top;916
1432;Nanome;Nanome is accelerating science through intuitive VR interfaces and Matryx (MTX), a blockchain platform that incentivizes collaboration. Learn more today: http://bit.ly/VisitNanome;915
1433;Sony Reconsidered;Commentary on Sony and PlayStation / Formerly SonyRumors /;914
1434;UCL IIPP Blog;The official blog of the UCL Institute for Innovation and Public Purpose | Rethinking how public value is created, nurtured and evaluated | Director @MazzucatoM | https://www.ucl.ac.uk/bartlett/public-purpose/;913
1435;ag-Grid;We are ag-Grid and our mission is to build the best datagrid in the world;913
1436;UX Station;The best UX design case studies for your inspirations on UX processes, research and design.;913
1437;Aurora Blog;Deliver the benefits of self-driving technology safely, quickly, and broadly.;912
1438;RAPP UP;We are fiercely individual;910
1439;Wrigley Rapport;Words From the Friendly Confines;909
1440;Ship It!;Conteúdo, opinião, vivência e compartilhamento de ideias da equipe de Produto e Engenharia da Resultados Digitais @RD;908
1441;FT Product & Technology;A blog by the Financial Times Product & Technology department.;907
1442;Tech Trends;Showcase for the latest disruptive technology that is changing the education landscape globally;904
1443;Esquire;Go to the bar smarter.;904
1444;eBay Tech Berlin;eBay Tech Berlin includes software developers, testers, data engineers & scientists as well as site operations teams from eBay Germany, eBay Kleinanzeigen and mobile.de. We build leading online platforms using the latest technologies and methods.;902
1445;Textile;Building new digital experiences by focusing on user privacy, openness, and decentralization. Makers of https://www.textile.photos/;901
1446;Teads Engineering;120+ innovators building the future of digital advertising;901
1447;Reaching Out;LGBTQ stories of faith lost & found;900
1448;PermacultureWomen;Permaculture design, organic gardening advice, wellness, decolonization, online education, Eco-Heroines profiles, and personal essays from ecofeminist writers around the world. Brought to you by Heather Jo Flores and www.PermacultureWomen.com;899
1449;The Slowdown;Brought to you by Slalom, The Slowdown is dedicated to exploring diversity and imagining a more inclusive, sustainable future. Twice a month we invite you to pause and consider a new perspective that might change the way you see the world.;899
1450;The Pragyan Blog;News. Art. Comics. Stories. Fact and fiction. Pragyan explores and celebrates Technology.;897
1451;The Ninja Writers Pub;A good story, well told, can change the world. Ninja Writers are changing the world.;895
1452;Zalando Design;A collection of thoughts from Zalando Design;894
1453;USF-Data Science;Established in 2016, the Data Institute at USF serves as the umbrella organization for data science research and programming at the University of San Francisco. We offer MS Data Science, BS Data Science and continuing education certificates.;893
1454;exposure magazine;society for photographic education | understanding how photography matters in the world;893
1455;.NET Core;Posts related to .NET Core (ASP.NET Core, MVC, Web API…);889
1456;DigitalAssetResearch;Institutional-Grade Cryptocurrency Research;886
1457;Solus Jesus;Solus Jesus: A Theology of Resistance, is the place to explore a new approach to Christianity. Emily Swan & Ken Wilson are co-pastors of Blue Ocean Faith, Ann Arbor (a2blue.org).;884
1458;Equal Future;Social justice & technology.;878
1459;Tokopedia Engineering;Story from people who build Tokopedia;878
1460;賴叔睇育;當再無事可閱，賴叔唯有睇育，睇多啲育。;875
1461;This Cambridge Life;People make Cambridge University unique. Cooks, gardeners, students, archivists, professors, alumni: all have a story to share.;874
1462;vandium software;vandium software;872
1463;Dev as Life;I'd like to quit my freelance career with my solo dev product. Here to share my experiences of this journey with you.;870
1464;Nike Engineering;The Nike Engineering team is creating the future of sport - innovating retail experiences, connecting athletes to the brand and creating powerful moments of distinction through the Nike Digital ecosystem.;870
1465;Combin Blog;Tips and tricks, strategy plans, and helpful advices on building involved community around your brand's Instagram account. https://www.combin.com;870
1466;Slalom Build;The Build Blog is a collection of perspectives and viewpoints on the craft of building digital products today, written by the technologists that build them. By builders, for builders.;868
1467;AppsFlyer;AppsFlyer Engineering;867
1468;Microcopy & UX Writing;A place product writers can finally call home.;866
1469;Eximchain;Eximchain enables supply chain companies to connect, transact, and share information more efficiently using blockchain technology. Learn more: www.eximchain.com;863
1470;graphicfacilitation;Visual Thinking and Graphic Facilitation;863
1471;Writers’ Blokke;For amazing Writer and Readers;862
1472;MedX Protocol;MedX is a global healthcare market controlled by the people who use it.;862
1473;Kolektif Agora;Ruang kolektif eksplorasi narasi urban.;862
1474;Bike Hugger Magazine;The Joy, Fun and Challenges of Life on A Bike;862
1475;The Non-Traditional Developer;Helping developers from non-traditional backgrounds navigate the software development world;861
1476;Asana Design;Stories and lessons learned from the Asana Design team;860
1477;Algorithm and Blues;The Cadence of Music, Science and Engineering at Pandora.;859
1478;commercetools tech;Looking under the hood of the commercetools platform;859
1479;Sike! Psychology for World Domination;Hacking other people’s brains (and your own) for fun and profit.;858
1480;AMA Marketing News;Marketing News features original news coverage, exclusive insights, trend analyses and more.;857
1481;New Harvest;The 501(c)(3) research institute accelerating breakthroughs in #cellularagriculture to reinvent the way we make animal products — without animals. https://www.new-harvest.org/;857
1482;The Bit Theories;3-minute notes in Computer Science and hottest technologies in use.;857
1483;Reiterate;A product management publication sharing insights into the craft of product, so the rest of us can learn and get inspired.;855
1484;Learning Machine;Issue verifiable digital records. #blockchain;855
1485;Strictly Beta;A collection of true adventures, unexpected destinations and a few conjectured futures;853
1486;Volosoft;Volosoft;852
1487;NatureHub;One-stop App for conscious consumers & businesses. Offers personalized tools including maps, guides, recipes, & alternatives for anyone seeking healthier, more eco-friendly, locally inspired lives. Join us & explore the ways we can make our world a little brighter.;851
1488;Data Science & Design;All about Data Science, Machine Learning, and Design. Also, lot of things about Statistics, Data Visualization, Benchmarking, and funny stuff.;850
1489;Circle blog;A new kind of global financial services company making it easy and safe to trade, invest and raise capital using open crypto technologies.;848
1490;Bransjebloggen 3min;På 3min kan DU skrive om digitalisering for egen bransje. Skriv om erfaringer med design, programmering, strategi eller organisering.;848
1491;Our Game;The MLB.com/Blog of Official MLB Historian John Thorn;848
1492;Silicon Valley for International Entrepreneurs;We help international #startup founders and #VC investors to plugin into #SiliconValley ecosystem and become successful on a global scale.;848
1493;Thinking about Startups;Thoughts about the process of taking an idea and making it reality for a lot of customers in an economically sustainable way.;847
1494;LocalGlobe Notes;writing from @localglobevc team;847
1495;Stanford Health Policy;Interdisciplinary innovation, discovery, and education to improve health care;847
1496;Envoy Design;Stories and ideas from designers that challenge the workplace status quo.;847
1497;Whatslively;Getting you out to more live music.;845
1498;Happyplaces Stories;A library of perspectives from the Happyplaces Project, a playful research project to better understand all dimensions of space to eventually create happy places.;844
1499;solo.io;Blogs and articles from solo.io;844
1500;Mindful Muse;Living in the Moment;842
1501;Road Less Ventured;Venture Capital from a Principal’s perspective;841
1502;DevOps Dudes;A collection of stories that have anything and everything to do with DevOps from horror stories to success stories. If it's about Gitlab, Jenkins, Chef, Ansible, AWS, Azure, Kubernetes, Software Engineer then it belongs here.;840
1503;The UX Book Club;People know us. We are important. We have many UX books and our homes smell of coffee and usability studies.;840
1504;Lambda - The Grofers Engineering Blog;Engineering at Grofers;838
1505;ngconf;The World’s Best Angular Conference;838
1506;Design Words;UI Design related articles, thoughts and experiences;837
1507;Arcturus;An online literary magazine of new perspectives from the Chicago Review of Books.;837
1508;Pain Talks;Stories that share the lived experience of chronic pain opens up the dark space that people living with it experience. This is a collection of stories of resilient action, thoughtful questioning and defiant resistance to the daily challenges that pain brings.;835
1509;Workday Technology;The Workday Technology Blog is a collaboration of engineers, product managers, and designers at Workday to share and discuss best practices, lessons learned, and innovative solutions for the next wave of technology products.;834
1510;Ironhack;Ironhack is a global tech school with campuses in Miami, Madrid, Barcelona, Paris, Amsterdam, Berlin & Mexico City. We offer courses in Web Development and UX/UI Design. With more than 1,000 graduates, we have an extensive global network of alumni and partner companies.;831
1511;Uncalendared;Undocumented. Unmeasured in time. Unstoppable.;829
1512;CoinShares;CoinShares Blog;827
1513;B is for Blog;My name is Beatrice Phi, and my friends and I have a lot on our minds.;825
1514;Climate Conscious;Building a collective vision for a better tomorrow;825
1515;Generation Citizen;Generation Citizen (GC) works to ensure that every student in the United States receives an effective action civics education, which provides them with the knowledge and skills necessary to participate in our democracy as active citizens.;824
1516;I am a camera;Articles, journal entries and images reflecting on places, often cities. The title is lifted from Christopher Isherwood: “I am a camera with its shutter open, quite passive, recording, not thinking.”;823
1517;Charting Ahead;This magazine is devoted to providing articles on data visualization and design. It features tip, tricks, how-to articles, and others related to the design, interpretation, and development of graphs, charts, infographics, and practical explainer articles.;823
1518;The Hollywood Reporter;The Hollywood Reporter;819
1519;Independent Security Evaluators;Independent Security Evaluators, a firm of security specialists that provide a wide range of services including custom security assessments and software development. ISE also runs IoT Village, which hosts talks by expert security researchers and hacking contests.;818
1520;Commit Log;Contains Commits, Duh!;817
1521;Poem of the day;Poetry selected daily by Blair Mahoney for his English classes. Images found by Tania Sheko, most selected from the curated collections of Stephen Ellcock on Facebook https://www.facebook.com/stephen.ellcock and Instagram https://www.instagram.com/stephenellcock/.;817
1522;Billboard Magazine;Billboard Magazine;816
1523;Engineer Quant;Delve into engineering and quantitative analysis;816
1524;Ingeniously Simple;How Redgate build ingeniously simple products, from inception to delivery.;815
1525;The Apex;Covering Women’s Flat Track Roller Derby. Send pitches, tips, comments and releases to derbyapex@gmail.com  https://www.patreon.com/thederbyapex https://soundcloud.com/derby-apex;813
1526;Modern NLP;All the latest techniques in NLP — Natural Language Processing;813
1527;10Clouds;Design, Development, User Interface and User Experience knowledge from 10Clouds Team. We are here to inspire!;812
1528;Kamil Lelonek  - Software Engineer;Lean Programming | Software Development | Project Management;810
1529;topos.ai;topos.ai;810
1530;Lamden;The official blog of the Lamden blockchain project.;810
1531;YLD Blog;YLD's latest thoughts on Software Engineering, Design, leadership and Digital Products;810
1532;Gotham Sports Network;Commentary on the New York sports scene and beyond;804
1533;MEW Publications;MyEtherWallet (MEW) is a free, open-source, client-side interface for interacting with the Ethereum blockchain.;803
1534;AzimoLabs;We're the team behind @azimo - the faster, safer way to send money anywhere;802
1535;Journal of Beautiful Business;Beautiful Business. We refuse to define it, but know it when we see it — and believe you do, too. The Journal of Beautiful Business is the magazine of the House of Beautiful Business, a global think tank and community, hosting The Great Wave this year. Join us!;802
1536;IBM Cloud;Understand how to bring elastic runtimes to the Enterprise with effective security and data protection at scale.;800
1537;Privacy Guy;The Internet Privacy Expert discussing the latest news about privacy and internet security.;800
1538;Lapsed Historian;Because history is fun. Honest.;800
1539;Grubhub Bytes;Insights and stories from Grubhub's design, engineering and product teams.;798
1540;Flutter NYC;For NYC developers interested in Flutter, Google’s new universal UI framework;797
1541;I LIKE THIS GRAPE;Voice of Modern Wine Culture;796
1542;The Web Tub;Pushing the web current through hybrid mobile and PWA technology. Presented by the Monaca and Onsen UI team.;795
1543;Radical Product;Join the global movement that's building vision-driven products (www.radicalproduct.com);795
1544;Writers On The Run;For those who love to travel, live for travel, and always have a story to tell.;795
1545;Everything’s Interesting;what’s worth thinking about — at the movies, on tv, and more;794
1546;Updates from the U.S. Fish and Wildlife Service;The U.S. Fish and Wildlife Service is working with others to conserve, protect, and enhance fish, wildlife, plants, and their habitats for the continuing benefit of the American people.;794
1547;Adviser online;Resources for advice professionals from the experts;794
1548;The Future is Electric;The Future is Electric is the house journal of TFIE Strategy Inc, a firm which assists global clients to future proof themselves in our rapidly changing world of business and technical innovation, and geopolitical and climate disruption.;794
1549;Female Founders Fund;News about female founders and women in VC from a seed-stage fund that invests in the exponential power of exceptional female talent.;793
1550;Future Vision;A publication centered around high quality storytelling;792
1551;Digital Vault;The intersection of Digital + Media + Marketing;791
1552;clearmatics;Clearmatics builds member-owned and governed distributed systems that automate contracts and the transfer of economic value. We call our technology approach “decentralized automation”​, which combines cryptography, consensus protocols and economic mechanism design.;791
1553;MoneyBrain;Money’s tough. But it shouldn’t be. Tips on saving, earning, and investing.;789
1554;Deep Learning Demystified;Simple intuitive explanation of a wide range of Deep Learning concepts from basic to advanced.;787
1555;Mozilla Open Innovation;Prototyping the future together;787
1556;uncommon;Writing from uncommon — a design studio dedicated to building beautiful and performant applications for mobile and web.;787
1557;devStories;Stories about software development from the dev team.;787
1558;Tinder Engineering;Tech Blog;785
1559;Kin + Carta Created;At Kin + Carta Create, we're busy building technology experiences for a world where mobile is an expectation, not a device. ‘Kin + Carta Created’ is where we share selected learnings and highlights. Head to www.kinandcarta.com for more.;785
1560;Dash Blog;Dash;784
1561;Waze;Waze creates community on and off the road. Bringing together drivers, riders, municipalities, first responders and transit authorities, we solve transportation problems, improve mobility and work to end traffic altogether.;783
1562;Omdena;Omdena is an innovation platform for building AI solutions to real-world problems through the power of bottom up collaboration.;783
1563;SFOX Edge;Crypto analysis from SFOX, the primier crypto trading venue.;783
1564;Square Roots;A tech-enabled urban farming company empowering next-gen farmers to grow hyper-local, real food.;783
1565;berndruecker;My personal blog. Who is Bernd Ruecker? See http://berndruecker.io/;783
1566;Write STUFF;Helpful and inspirational posts about writing.;782
1567;The Transition Transmission;The place to embrace the Triumphs and Tribulations of those who Transitioned and risked everything to live authentically.;782
1568;Photo Dojo;Photo Dojo is a publication focused on sharing great articles written by talented photographers around the world. We publish anything from tutorials and gear discussion to photo essays and philosophical articles.;781
1569;XING Engineering;Stories about building a social network;780
1570;Writer Mom;A publication of Jewel Eliese, Writer and Writer Moms Inc. Made for moms who write to share their talents of the written word. Fiction, poetry, and articles.;780
1571;DoSomething Strategic;DoSomething Strategic is the social impact consulting arm of DoSomething.org. We leverage 25+ years of driving action along with proprietary data and learnings from engaging over 5M young people ages 13–25 to provide in-depth understanding and insights brands can’t get elsewhere.;780
1572;thoughts for thinkers;essays about everyday things that matter quite a lot;779
1573;Employbl;Employbl is a database of active candidates in the Bay Area. I generate leads for talent teams;777
1574;Regen Network;A blockchain network of ecological knowledge changing the economics of regenerative agriculture to reverse global warming. Learn more: https://regen.network;775
1575;Weeds & Wildflowers;Stories of Dennett (Wildflower) & Ben (Weed) & Our Guests;775
1576;The Friday Fix;Tough week? Self-medicate with a dose of microfiction! The Friday Fix is devoted to publishing fifty-word stories.;769
1577;FREOPP.org;Official website of The Foundation for Research on Equal Opportunity (@FREOPP), a non-profit think tank focused on expanding economic opportunity to those who least have it.;769
1578;Nextdoor Engineering;Come learn how Nextdoor engineers think, learn, and build.;769
1579;The Fourth Wave;Environmental progress doesn't just happen. It's been propelled by successive waves of innovation, each unleashing powerful new tools: Land conservation. Force of Law. Power of Market-Based Solutions. Today we are seeing the emergence of a Fourth Wave of environmental innovation.;769
1580;Fairbank Center for Chinese Studies, Harvard University;The Fairbank Center for Chinese Studies at @Harvard University is a world-leading center for the study of China.;768
1581;Tensult Blogs;Stories on Cloud computing, Analytics, Automation and Security, AWS;767
1582;friendupcloud;Friend is the first open source virtual cloud computer that puts the user in the driver's seat.;766
1583;Dynamo Tradewinds;A Blog on Supply Chain and Mobility from Dynamo Ventures;765
1584;Openbridge;All things data, big and small;764
1585;The Innovation Machine;The community of Innovators and Inventors. We welcome people who are passionate about technology as the means of solving big problems. We believe in ideas and the power of online communities. Follow the Innovation Machine to discover problems worth solving and big ideas.;763
1586;Betterism;Be better at whatever you're building.;763
1587;The Challenge;Our goal is to build a world that democratizes opportunity, where people control their own privacy and property, and all people participate in processes that are transparent, trustworthy and inclusive. Join us. #crypto #blockchain #bitcoin #technology;762
1588;American Citizens for Taiwan | 美臺會;Helping Americans understand the importance of Taiwan to the United States;761
1589;KNOCK;Los Angeles has a new voice on the left. KNOCK is a journalism and commentary project by Ground Game LA, a community organization that fosters civic empowerment and political engagement.;760
1590;DoiT International;Multi-Cloud Engineering Blog. For Engineers.;760
1591;SORACOM;Secure, scalable, cloud-native connectivity for the Internet of Things;759
1592;Vizzuality Blog;Posts on data design, user research, open data, and software development. We create tools and applications with a lasting benefit to society and the environment.;759
1593;HashiCorp Solutions Engineering Blog;A Community Blog by the Solutions Engineers of HashiCorp and Invited Guests;759
1594;6D.ai;Building the 3D Map of the World;758
1595;Learning Machine Learning;Blog posts for my machine learning and data visualization projects!;755
1596;Horizon;The EU research & innovation magazine;755
1597;Life and Tech @ LifeOmic;LifeOmic Engineering Blog;754
1598;The Walkley Magazine;Inside the Australia and New Zealand media – stories by and for journalists.;752
1599;Convince & Convert;Convince & Convert: content, social, customer experience;751
1600;We are madewithlove;Thoughts from inside our company;749
1601;KI labs Engineering;KI labs Technical Blog https://www.ki-labs.com/;748
1602;Makers;Creating a new generation of tech talent. Ready for the changing world of work.;748
1603;The Space Perspective;Giving you a perspective on Life, the Universe & Everything.;746
1604;The Service Gazette;The Service Gazette is a print publication for service innovators. It is published since 2015 with most print articles available on Medium.;745
1605;Flant;Professional DevOps outsourcing services with a strong passion for Kubernetes.;744
1606;devtrails.io;A collection of helpful guides for software developers.;743
1607;Megatrends by HP;Exploring the socio-economic, demographic and technological forces impacting our future. #MegatrendsbyHP;743
1608;Forward Tick;The future happens one second at a time. We’re looking forward and reporting back.;742
1609;Girl, Get Your Shit Together;Stories about relationships, failing, thriving, love, and life.;742
1610;Major League Hacking;Your official home for live coverage, news, and stats about hackathons and hacker communities taking the world by storm.;741
1611;Brepairers;Building A Moral Movement;740
1612;Clean Energy Trust;Clean Energy Trust finds, funds, and grows high-impact cleantech startups from the Midwest;738
1613;The Perch;Resource Central for Indian Startups;734
1614;Deliberate Data Science;On practicing Data Science in the real world;732
1615;Science Journal;Making sense of the world through science;730
1616;headmelted;coding. learning. parenting.;730
1617;LUMINATE;Interesting and useful science news and information about the human body and mind, the amazing world around us, and our place in it.;730
1618;Guernica Magazine;Founded online in 2004, Guernica is an award-winning 501(c)3 non-profit magazine focused on the intersection of arts and politics.;729
1619;Iodine;Helping people find what works;729
1620;Melewi — Product, Business + Design;Brought to you by a distributed product strategy and design team, with 60+ years collective experience in helping businesses win the love of their customers.;728
1621;Criteo R&D Blog;Tech stories from the R&D team;728
1622;Decipher Media;Blockchain Research Group at Seoul National University;727
1623;People Over Product;where technology and ethics converge;726
1624;The Faculty;A community of academics and storytellers writing and sharing thoughts about teaching, learning, research, and life at the faculty.;726
1625;Empowered Trans Woman;Highlighting the experience of women of trans experience. Transition, Womanhood, Feminism, Intersectionality, Transphobia, Marginalization and Assimilation, and more.;724
1626;The National Discussion;The home of opinions on American politics and policy.;723
1627;evhead;my blog;723
1628;America Votes;America Votes is the coordination hub of the progressive community. We collaborate efforts to advance progressive policies and win elections in key states and advocate to modernize elections and protect every American's right to vote.;722
1629;Mosaic science;Stories about the science you care about in a changing world;722
1630;The Digital Age;Thoughts on tech, startups, internet and people.;722
